what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1341076326725
locale,sysinfo,,,"fr_FR",1341076326725
processors,sysinfo,,,"4",1341076326725
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1341076326725
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1341076326725
java.specification.name,sysinfo,,,"Java Platform API Specification",1341076326725
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1341076326725
java.specification.version,sysinfo,,,"1.6",1341076326725
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1341076326725
java.version,sysinfo,,,"1.6.0_31",1341076326725
java.vm.info,sysinfo,,,"mixed mode",1341076326725
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1341076326725
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1341076326725
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1341076326725
java.vm.specification.version,sysinfo,,,"1.0",1341076326725
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1341076326725
java.vm.version,sysinfo,,,"20.6-b01",1341076326725
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1341076328072
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1341076328129
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1341076342045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341076349263
started,bundle,org.eclipse.mylyn.context.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.context.ui",1341076354186
started,bundle,org.eclipse.mylyn.commons.notifications.ui,1.0.0.v20120612-0600,"org.eclipse.mylyn.commons.notifications.ui",1341076359745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341076372466
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1341076372489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341076377345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341076753263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341076770659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341076812311
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1341076812327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341076813804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341076999186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077004225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077010675
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1341077010690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077019701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077036744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1341077036755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077081736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077141808
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1341077141831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077147009
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1341077152325
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1341077182088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077185171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1341077185219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077195021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077219978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1341077219994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077223701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077312051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077319316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077337680
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1341077337693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077359753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077366905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077366977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077369443
opened,view,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.sync.views.SynchronizeView",1341077369882
opened,view,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui.GenericHistoryView",1341077369934
opened,view,org.eclipse.mylyn.tasks.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.tasks.ui.views.repositories",1341077370034
activated,perspective,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui.TeamSynchronizingPerspective",1341077370063
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341077370095
activated,view,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.sync.views.SynchronizeView",1341077370309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077374770
